Unnamed: 7,ECSE,KG,1,2,3,4,5,6,7,8,9,10,11,12
Banaadir Elementary,0.0,23.0,18.0,30.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banaadir Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,17.0,15.0,12.0,15.0
Bancroft Elementary,9.0,74.0,79.0,69.0,78.0,63.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Banfield Elementary,20.0,0.0,102.0,120.0,110.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnesville Elementary,0.0,56.0,74.0,72.0,77.0,73.0,76.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnesville Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,75.0,60.0,58.0,59.0,68.0
Barnum Elementary,6.0,35.0,50.0,43.0,45.0,54.0,46.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
Barnum Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,55.0,50.0,67.0,53.0,62.0
Barton Elementary,15.0,78.0,84.0,95.0,74.0,90.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basswood Elementary,0.0,130.0,151.0,144.0,129.0,145.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battle Creek Elementary School,4.0,70.0,73.0,75.0,73.0,75.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battle Creek Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,223.0,221.0,0.0,0.0,0.0,0.0
Battle Lake Elementary,0.0,29.0,40.0,37.0,36.0,26.0,25.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Battle Lake Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,33.0,37.0,30.0,25.0,31.0
Baxter Elementary,0.0,113.0,111.0,113.0,98.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bay View Elementary,0.0,75.0,90.0,88.0,104.0,107.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bayview Elementary,0.0,86.0,72.0,92.0,99.0,94.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bdote Learning Center,0.0,14.0,13.0,11.0,5.0,11.0,6.0,12.0,4.0,7.0,0.0,0.0,0.0,0.0
Beacon ALP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,73.0
Beacon Academy,0.0,36.0,57.0,46.0,56.0,70.0,69.0,78.0,54.0,55.0,0.0,0.0,0.0,0.0
Beacon Program W Central Ed. Dist.,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Bear Cave Intermediate School,0.0,0.0,0.0,0.0,147.0,153.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaver Lake Voluntary Pre-K,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Becker Intermediate Elementary,0.0,0.0,0.0,0.0,189.0,233.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Becker Middle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,199.0,242.0,0.0,0.0,0.0,0.0
Becker Primary,42.0,223.0,190.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Becker Senior High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,217.0,221.0,196.0
Bel Air Elementary,0.0,0.0,169.0,137.0,146.0,135.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgrade-Brooten-Elrosa Elementary,15.0,45.0,53.0,52.0,55.0,50.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgrade-Brooten-Elrosa Sec.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,51.0,49.0,32.0,51.0,59.0,38.0
