DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	720	31	Shakopee Public School District	2	Living Hope Lutheran School	22	20	23	16	23	0	0	0	0	0	0	0	0	82	0	104	0	8	8	0	70	Scott                                        	11
23-24	721	31	New Prague Area Schools	1	St. Wenceslaus	24	27	32	27	15	19	17	24	11	0	0	0	0	137	35	196	0	25	25	3	70	Scott                                        	11
23-24	721	31	New Prague Area Schools	2	Holy Cross Catholic School	13	19	16	12	12	14	12	10	11	0	0	0	0	85	21	119	0	6	6	0	66	Rice                                         	11
23-24	726	31	Becker Public School District	1	Jubilee Christian School	6	7	8	5	5	5	4	7	4	4	3	6	0	34	24	64	0	0	0	0	71	Sherburne                                    	07W
23-24	728	31	Elk River Public School District	2	St. Andrew Catholic School	22	26	25	27	22	26	10	0	0	0	0	0	0	136	0	158	0	4	4	6	71	Sherburne                                    	07W
23-24	728	31	Elk River Public School District	3	St. John Lutheran School	18	15	23	18	19	16	10	16	7	0	0	0	0	101	23	142	0	12	12	0	2	Anoka                                        	07W
23-24	728	31	Elk River Public School District	4	Mary Queen of Peace Catholic School	14	20	21	17	14	10	0	0	0	0	0	0	0	82	0	96	0	6	6	0	27	Hennepin                                     	07W
23-24	728	31	Elk River Public School District	9	My Own Montessori	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	71	Sherburne                                    	07W
23-24	728	31	Elk River Public School District	11	Good Shepherd Lutheran High School	0	0	0	0	0	0	0	0	0	3	6	9	4	0	22	22	0	0	0	0	86	Wright                                       	07W
23-24	728	31	Elk River Public School District	13	Trilogy STEM Academy	0	0	0	0	0	2	0	5	2	2	2	4	0	2	15	17	0	0	0	0	27	Hennepin                                     	07W
23-24	738	31	Holdingford Public School District	11	Aletheia Christian Academy	4	0	1	1	2	0	1	0	0	0	0	0	0	5	0	9	0	0	0	0	73	Stearns                                      	07W
23-24	740	31	Melrose Public School District	1	Sacred Heart	15	21	17	17	14	10	16	0	0	0	0	0	0	95	0	110	0	21	21	0	73	Stearns                                      	07W
23-24	740	31	Melrose Public School District	2	St. John's - St. Andrew's Catholic School	5	7	5	4	5	4	7	0	0	0	0	0	0	32	0	37	0	9	9	0	73	Stearns                                      	07W
23-24	740	31	Melrose Public School District	3	St. Mary's Catholic School	13	17	15	14	17	12	21	0	0	0	0	0	0	96	0	109	0	14	14	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	1	Granite City Baptist Academy	3	6	1	0	2	0	2	4	0	2	2	1	1	11	10	24	0	0	0	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	3	Cathedral	0	0	0	0	0	0	66	77	68	80	97	84	95	66	501	567	0	80	80	5	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	4	St. Cloud Christian School	17	10	18	21	15	14	22	19	29	22	22	19	17	100	128	245	0	32	32	0	5	Benton                                       	07W
23-24	742	31	St. Cloud Public School District	7	St. Katharine Drexel	24	23	20	29	27	36	0	0	0	0	0	0	0	135	0	159	0	19	19	6	5	Benton                                       	07W
23-24	742	31	St. Cloud Public School District	8	St. John's Preparatory School	0	0	0	0	0	0	28	28	31	45	61	53	50	28	268	296	0	37	37	28	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	10	St. Joseph Catholic School	17	22	17	20	16	14	0	0	0	0	0	0	0	89	0	106	0	2	2	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	11	St. Mary Help of Christians	14	9	11	17	16	14	0	0	0	0	0	0	0	67	0	81	0	0	0	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	13	All Saints Academy-St. Cloud Campus	29	17	15	23	17	39	0	0	0	0	0	0	0	111	0	140	0	30	30	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	14	St. Wendelin	11	3	10	4	6	5	0	0	0	0	0	0	0	28	0	39	0	6	6	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	17	St. Robert Bellarmine Academy	11	5	7	11	8	6	5	7	6	8	8	7	8	42	44	97	0	0	0	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	18	Holy Innocents	1	0	0	1	0	1	0	2	1	1	1	0	1	2	6	9	0	0	0	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	19	Children's Day Montessori	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	20	St. Elizabeth Ann Seton School	15	13	14	20	10	11	0	0	0	0	0	0	0	68	0	83	0	36	36	13	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	21	Northland Christian School	3	0	2	3	1	3	1	1	1	0	1	1	3	10	7	20	0	0	0	0	71	Sherburne                                    	07W
23-24	742	31	St. Cloud Public School District	22	Prince of Peace Lutheran School	20	16	19	12	16	14	13	15	8	0	0	0	0	90	23	133	0	13	13	0	73	Stearns                                      	07W
23-24	742	31	St. Cloud Public School District	706	Calvary Classical Academy	7	7	6	7	8	6	8	3	7	4	1	0	0	42	15	64	0	0	0	0	73	Stearns                                      	07W
23-24	743	31	Sauk Centre Public School District	1	Holy Family	42	27	41	37	41	31	35	0	0	0	0	0	0	212	0	254	0	49	49	0	73	Stearns                                      	07W
23-24	745	31	Albany Public School District	1	Holy Family	18	19	15	11	17	18	0	0	0	0	0	0	0	80	0	98	0	6	6	0	73	Stearns                                      	07W
23-24	748	31	Sartell-St. Stephen School District	1	St. Francis Xavier	36	23	30	28	32	34	0	0	0	0	0	0	0	147	0	183	0	5	5	0	73	Stearns                                      	07W
23-24	748	31	Sartell-St. Stephen School District	2	Immaculate Conception Academy	2	1	3	4	2	3	4	4	1	1	1	2	0	17	9	28	0	0	0	0	73	Stearns                                      	07W
23-24	750	31	ROCORI Public School District	2	St. Boniface	25	32	34	29	28	39	23	0	0	0	0	0	0	185	0	210	0	5	5	0	73	Stearns                                      	07W
23-24	750	31	ROCORI Public School District	3	Saints Peter & Paul	17	18	11	20	6	14	0	0	0	0	0	0	0	69	0	86	0	2	2	0	73	Stearns                                      	07W
23-24	761	31	Owatonna Public School District	1	St. Mary's School	30	22	24	27	41	29	38	26	25	0	0	0	0	181	51	262	0	34	34	0	74	Steele                                       	10
23-24	761	31	Owatonna Public School District	2	Owatonna Christian	11	13	5	13	11	4	8	3	2	5	3	3	4	54	20	85	0	0	0	0	74	Steele                                       	10
23-24	786	31	Bertha-Hewitt Public School District	1	Pioneer Amish Parochial School	4	3	2	2	3	1	2	2	4	3	0	0	0	13	9	26	0	0	0	0	77	Todd                                         	05
23-24	786	31	Bertha-Hewitt Public School District	64	Oak Grove	4	4	2	2	4	3	2	2	4	3	0	0	0	17	9	30	0	0	0	0	77	Todd                                         	05
23-24	787	31	Browerville Public School District	1	Christ the King Parochial	4	1	7	6	0	6	6	0	0	0	0	0	0	26	0	30	0	13	13	0	77	Todd                                         	05
23-24	811	31	Wabasha-Kellogg Public School District	1	St. Felix Catholic School	9	11	12	12	6	9	10	0	0	0	0	0	0	60	0	69	0	3	3	1	79	Wabasha                                      	10
23-24	813	31	Lake City Public School District	1	St. John's Lutheran	11	6	8	7	4	3	8	6	5	0	0	0	0	36	11	58	0	0	0	0	79	Wabasha                                      	10
23-24	815	32	Prinsburg Public School District	1	Central Minnesota Christian School	21	34	33	24	22	33	22	36	25	31	28	17	26	168	163	352	0	102	102	0	34	Kandiyohi                                    	06E
23-24	818	31	Verndale Public School District	1	Verndale Area Christian Academy	13	10	7	8	10	0	5	0	0	0	0	0	0	40	0	53	0	40	40	0	80	Wadena                                       	05
23-24	829	31	Waseca Public School District	10	Sacred Heart	18	16	20	19	12	0	0	0	0	0	0	0	0	67	0	85	0	22	22	0	81	Waseca                                       	09
23-24	831	31	Forest Lake Public School District	20	St. Peter	29	40	35	38	35	31	38	21	15	0	0	0	0	217	36	282	0	22	22	0	82	Washington                                   	11
23-24	832	31	Mahtomedi Public School District	1	St. Jude of the Lake	28	29	28	37	29	20	23	17	10	0	0	0	0	166	27	221	0	16	16	0	82	Washington                                   	11
23-24	833	31	South Washington County Schools	1	New Life Academy	52	53	46	53	54	48	57	49	53	56	58	55	40	311	311	674	0	0	0	1	82	Washington                                   	11
23-24	833	31	South Washington County Schools	2	Hope Christian Academy	7	2	4	4	2	3	4	4	3	2	3	1	1	19	14	40	0	13	13	0	82	Washington                                   	11
23-24	833	31	South Washington County Schools	65	Saint Ambrose Woodbury Catholic School	68	63	66	72	68	73	62	69	54	0	0	0	0	404	123	595	0	17	17	0	82	Washington                                   	11
23-24	834	31	Stillwater Area Public Schools	2	St. Croix Catholic	42	31	47	37	39	33	29	34	13	0	0	0	0	216	47	305	0	35	35	1	82	Washington                                   	11
23-24	834	31	Stillwater Area Public Schools	3	Salem Lutheran	14	14	8	15	15	9	10	12	8	0	0	0	0	71	20	105	0	9	9	0	82	Washington                                   	11
23-24	834	31	Stillwater Area Public Schools	4	St. Croix Montessori School	12	13	12	8	12	8	4	0	0	0	0	0	0	57	0	69	0	0	0	0	82	Washington                                   	11
23-24	834	31	Stillwater Area Public Schools	9	Chesterton Academy of the St. Croix Valley	0	0	0	0	0	0	0	0	0	9	13	11	4	0	37	37	0	11	11	2	82	Washington                                   	11
23-24	834	31	Stillwater Area Public Schools	10	Liberty Classical Academy - Hugo Campus	41	43	47	0	0	0	0	0	0	0	0	0	0	90	0	131	0	0	0	0	82	Washington                                   	11
23-24	837	31	Madelia Public School District	1	St. Mary	13	9	15	7	11	5	9	0	0	0	0	0	0	56	0	69	0	12	12	7	83	Watonwan                                     	09
23-24	840	31	St. James Public School District	2	St. Paul's Lutheran School	7	6	9	5	6	2	6	4	3	0	0	0	0	34	7	48	0	13	13	0	83	Watonwan                                     	09
23-24	846	31	Breckenridge Public School District	1	St. Mary's Catholic School	16	22	12	10	12	12	14	18	4	0	0	0	0	82	22	120	0	19	19	0	84	Wilkin                                       	04
23-24	857	31	Lewiston-Altura Public School District	1	Immanuel Lutheran	15	13	9	8	16	5	12	11	13	0	0	0	0	63	24	102	0	36	36	0	85	Winona                                       	10
23-24	857	31	Lewiston-Altura Public School District	2	St. John's Ev. Lutheran School	9	6	7	7	6	2	13	11	7	0	0	0	0	41	18	68	0	14	14	0	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	26	Hope Lutheran High School	0	0	0	0	0	0	0	0	0	27	19	19	23	0	88	88	0	13	13	0	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	49	Cotter Schools Grades K-6	57	54	69	71	74	87	69	0	0	0	0	0	0	424	0	481	0	54	54	6	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	50	Cotter Schools Grades 7-12	0	0	0	0	0	0	0	60	81	75	67	57	76	0	416	416	0	36	36	18	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	51	Main Square Montessori	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	2	0	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	54	St. John's Lutheran	7	10	7	9	7	6	11	6	5	0	0	0	0	50	11	68	0	8	8	0	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	55	St. Martin's Lutheran	11	10	12	10	17	8	22	5	11	0	0	0	0	79	16	106	0	21	21	0	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	56	St. Matthew's Lutheran	9	9	6	14	4	6	4	3	3	0	0	0	0	43	6	58	0	15	15	0	85	Winona                                       	10
23-24	861	31	Winona Area Public School District	57	Anchor Academy	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	2	2	0	85	Winona                                       	10
23-24	877	31	Buffalo-Hanover-Montrose Schools	1	St. Francis Xavier	31	22	28	35	26	30	28	28	19	0	0	0	0	169	47	247	0	32	32	0	86	Wright                                       	07W
23-24	877	31	Buffalo-Hanover-Montrose Schools	2	Salem Lutheran	8	10	9	10	5	8	12	8	3	0	0	0	0	54	11	73	0	10	10	0	27	Hennepin                                     	07W
23-24	877	31	Buffalo-Hanover-Montrose Schools	6	Impact Christian Academy	10	13	7	12	10	12	9	11	8	7	8	0	0	63	34	107	0	0	0	0	86	Wright                                       	07W
23-24	879	31	Delano Public School District	2	Mt. Olive Lutheran	4	12	4	4	3	5	2	3	2	0	0	0	0	30	5	39	0	0	0	0	86	Wright                                       	07W
23-24	879	31	Delano Public School District	3	St. Maximilian Kolbe Catholic School	12	9	13	15	2	8	7	5	5	0	0	0	0	54	10	76	0	11	11	0	86	Wright                                       	07W
23-24	881	31	Maple Lake Public School District	1	St. Timothy's School	17	15	20	20	14	14	10	11	13	0	0	0	0	93	24	134	0	41	41	0	86	Wright                                       	07W
23-24	882	31	Monticello Public School District	2	Holy Spirit Academy	0	0	0	0	0	0	0	0	0	11	23	11	12	0	57	57	0	0	0	0	86	Wright                                       	07W
23-24	885	31	St. Michael-Albertville School District	1	St. Michael Catholic School	47	50	49	48	48	48	48	50	46	0	0	0	0	291	96	434	0	32	32	0	86	Wright                                       	07W
23-24	891	31	Canby Public School District	2	St. Peter's School	4	3	9	3	6	8	9	0	0	0	0	0	0	38	0	42	0	13	13	0	87	Yellow Medicine                              	06W
23-24	911	31	Cambridge-Isanti Public School District	3	Cambridge Christian School	20	20	18	16	15	18	14	21	17	10	12	14	14	101	88	209	0	0	0	4	30	Isanti                                       	07E
23-24	911	31	Cambridge-Isanti Public School District	4	St. Scholastica HSC  Academy	0	4	6	2	3	3	1	4	5	5	2	3	2	19	21	40	0	29	29	0	30	Isanti                                       	07E
23-24	912	31	Milaca Public School District	1	Community Christian	18	13	14	12	13	5	5	6	8	0	0	0	0	62	14	94	0	7	7	0	48	Mille Lacs                                   	07E
23-24	912	31	Milaca Public School District	2	Faith Christian	8	9	9	8	10	15	12	9	13	6	4	7	2	63	41	112	0	14	14	0	48	Mille Lacs                                   	07E
23-24	2125	31	Triton School District	1	Grace Lutheran	4	5	2	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	20	Dodge                                        	10
23-24	2125	31	Triton School District	3	Maranatha Adventist Christian School	0	5	2	4	5	4	3	1	1	0	0	0	0	23	2	25	0	0	0	0	20	Dodge                                        	10
23-24	2134	31	United South Central School District	8	St. Casimir's School	4	4	3	6	1	7	0	0	0	0	0	0	0	21	0	25	0	7	7	0	22	Faribault                                    	09
23-24	2137	31	Kingsland Public School District	1	St. Johns Lutheran	2	7	3	3	4	6	2	5	0	0	0	0	0	25	5	32	0	8	8	0	23	Fillmore                                     	10
23-24	2144	31	Chisago Lakes School District	10	Chisago Christian School	10	15	15	12	10	14	8	9	7	5	9	3	3	74	36	120	0	6	6	0	13	Chisago                                      	07E
23-24	2144	31	Chisago Lakes School District	20	Veritas Academy East Campus	0	2	0	3	2	2	2	5	1	0	0	0	1	11	7	18	0	12	12	2	13	Chisago                                      	07E
23-24	2149	31	Minnewaska School District	1	Lake Country Christian School	2	3	4	4	4	2	2	3	1	0	0	0	0	19	4	25	0	0	0	0	61	Pope                                         	04
23-24	2170	31	Staples-Motley School District	1	Sacred Heart Area School	13	10	18	12	11	14	9	0	0	0	0	0	0	74	0	87	0	19	19	0	77	Todd                                         	05
23-24	2171	31	Kittson Central School District	45	OneSchool Global - Pembina Campus	0	0	0	0	1	4	4	5	3	0	6	7	4	9	25	34	0	0	0	0	35	Kittson                                      	01
23-24	2174	31	Pine River-Backus School District	2	Foothills Christian Academy	4	1	3	1	1	5	3	5	1	1	3	1	4	14	15	33	0	0	0	0	11	Cass                                         	05
23-24	2310	31	Sibley East School District	11	St. Paul's Lutheran	9	5	9	6	5	3	8	5	5	0	0	0	0	36	10	55	0	9	9	0	72	Sibley                                       	09
23-24	2310	31	Sibley East School District	12	Immanuel Lutheran	8	6	7	8	4	5	5	8	9	0	0	0	0	35	17	60	0	3	3	0	72	Sibley                                       	09
23-24	2358	31	Tri-County School District	1	Heritage Christian	7	3	4	3	4	2	3	3	1	2	4	0	2	19	12	38	0	0	0	0	35	Kittson                                      	01 
23-24	2365	31	GFW Public Schools	10	Prairie Lutheran School	7	9	7	6	9	6	5	13	6	0	0	0	0	42	19	68	0	17	17	0	72	Sibley                                       	09
23-24	2365	31	GFW Public Schools	30	Starland School	2	3	3	2	3	2	0	2	1	2	0	3	2	13	10	25	0	25	25	0	72	Sibley                                       	09
23-24	2396	31	A.C.G.C. Public School District	1	Riverview Christian School	0	4	3	2	3	4	2	3	2	5	2	0	3	18	15	33	0	0	0	0	47	Meeker                                       	06E
23-24	2397	31	Le Sueur-Henderson School District	1	St. Anne's	18	16	20	19	20	16	0	0	0	0	0	0	0	91	0	109	0	6	6	0	40	Le Sueur                                     	09
23-24	2397	31	Le Sueur-Henderson School District	32	Altona Christian School	6	0	5	0	5	0	8	0	5	4	3	3	1	18	16	40	0	0	0	0	72	Sibley                                       	09
23-24	2534	31	Bird Island-Olivia-Lake Lillian Public School District	1	St. Mary's	2	12	12	15	17	18	20	15	10	0	0	0	0	94	25	121	0	19	19	0	65	Renville                                     	06E
23-24	2580	31	East Central School District	1	Harvest Christian School	6	4	3	4	3	2	3	8	1	6	4	0	5	19	24	49	0	0	0	0	58	Pine                                         	07E
23-24	2609	31	Win-E-Mac School District	1	Freedom Christian Academy	6	6	0	2	1	0	2	1	0	0	0	0	0	11	1	18	0	0	0	0	60	Polk                                         	01
23-24	2687	31	Howard Lake-Waverly-Winsted	11	St. James Lutheran	12	14	15	13	16	9	8	6	3	0	0	0	0	75	9	96	0	17	17	0	86	Wright                                       	07W
23-24	2687	31	Howard Lake-Waverly-Winsted	13	Holy Trinity	12	4	9	12	4	4	3	8	8	13	4	8	9	36	50	98	0	33	33	0	43	McLeod                                       	07W
23-24	2752	31	Fairmont Area School District	2	St. James Lutheran	7	5	6	6	6	2	6	0	0	0	0	0	0	31	0	38	0	9	9	1	46	Martin                                       	09
23-24	2752	31	Fairmont Area School District	3	St. John Vianney	9	11	13	10	8	14	9	0	0	0	0	0	0	65	0	74	0	21	21	0	46	Martin                                       	09
23-24	2752	31	Fairmont Area School District	4	St. Paul Lutheran	13	13	11	6	7	8	6	1	5	0	0	0	0	51	6	70	0	11	11	0	46	Martin                                       	09
23-24	2752	31	Fairmont Area School District	6	Martin Luther High School	0	0	0	0	0	0	0	4	6	10	16	11	9	0	56	56	0	20	20	0	46	Martin                                       	09
23-24	2752	31	Fairmont Area School District	7	Fairmont Christian School	13	10	9	7	2	8	1	0	0	0	0	0	0	37	0	50	0	20	20	0	46	Martin                                       	09
23-24	2753	31	Long Prairie-Grey Eagle School District	2	St. Mary of Mt. Carmel	15	8	6	13	14	15	19	0	0	0	0	0	0	75	0	90	0	41	41	22	77	Todd                                         	05
23-24	2753	31	Long Prairie-Grey Eagle School District	7	St. John Vianney Academy	0	3	3	5	3	6	5	3	4	0	0	0	0	25	7	32	0	0	0	0	77	Todd                                         	05
23-24	2769	31	Morris Area Public Schools	1	St. Mary's Catholic School	13	11	11	11	10	12	9	0	0	0	0	0	0	64	0	77	0	11	11	6	75	Stevens                                      	04
23-24	2805	31	Zumbrota-Mazeppa School District	50	Christ Lutheran School	9	6	5	4	5	10	5	5	5	0	0	0	0	35	10	54	0	1	1	0	25	Goodhue                                      	10
23-24	2835	31	Janesville-Waldorf-Pemberton	11	Trinity Lutheran	10	14	15	10	14	13	11	13	9	0	0	0	0	77	22	109	0	29	29	0	81	Waseca                                       	09
23-24	2859	31	Glencoe-Silver Lake School District	1	First Lutheran School	17	23	13	10	18	15	18	10	7	0	0	0	0	97	17	131	0	33	33	0	43	McLeod                                       	06E
23-24	2860	31	Blue Earth Area School District	1	Genesis Classical Academy	9	6	12	8	9	13	8	11	8	5	6	1	5	56	36	101	0	30	30	0	22	Faribault                                    	09
23-24	2895	31	Jackson County Central School District	1	Immanuel Lutheran	13	19	8	18	9	10	9	5	13	0	0	0	0	73	18	104	0	11	11	1	32	Jackson                                      	08
23-24	2897	31	Redwood Area School District	11	St. John Lutheran School	15	24	17	12	14	14	12	17	8	0	0	0	0	93	25	133	0	42	42	0	64	Redwood                                      	08
23-24	2897	31	Redwood Area School District	12	OneSchool Global	0	0	0	7	3	2	3	0	5	5	0	4	0	15	14	29	0	0	0	0	64	Redwood                                      	08
23-24	2899	31	Plainview-Elgin-Millville	1	Immanuel Lutheran	6	10	7	6	8	6	4	11	2	0	0	0	0	41	13	60	0	1	1	0	79	Wabasha                                      	10
23-24	2904	31	Tracy Area Public School District	10	St. Mary's School	4	10	4	11	5	8	4	0	0	0	0	0	0	42	0	46	0	20	20	0	42	Lyon                                         	08
23-24	2905	31	Tri-City United School District	2	Most Holy Redeemer School	5	5	10	5	3	8	9	5	7	0	0	0	0	40	12	57	0	8	8	4	40	Le Sueur                                     	09
23-24	2909	31	Rock Ridge Public Schools	11	Marquette	27	15	23	14	19	23	24	21	19	0	0	0	0	118	40	185	0	26	26	0	69	St. Louis                                    	03
23-24	All	All	All	All	Total	6,681	6,447	6,583	6,475	6,307	6,156	6,054	5,563	5,314	4,657	4,500	4,309	4,097	38,022	28,440	73,143	0	8,581	8,581	1,660	n/a	n/a	n/a
end of worksheet																												
