DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
23-24	112	31	Eastern Carver County Public Schools	4	St. John's Lutheran School	24	24	22	24	24	19	24	24	24	0	0	0	0	137	48	209	0	15	15	0	10	Carver                                       	11
23-24	112	31	Eastern Carver County Public Schools	20	Chapel Hill Academy	60	53	50	45	50	40	50	38	35	0	0	0	0	288	73	421	0	9	9	0	10	Carver                                       	11
23-24	112	31	Eastern Carver County Public Schools	21	Holy Family Catholic High School	0	0	0	0	0	0	0	0	0	145	140	128	145	0	558	558	0	21	21	2	10	Carver                                       	11
23-24	112	31	Eastern Carver County Public Schools	117	Southwest Christian High School	0	0	0	0	0	0	0	0	0	125	140	123	117	0	505	505	0	25	25	0	10	Carver                                       	11
23-24	112	31	Eastern Carver County Public Schools	119	Breakaway Academy Primary	15	11	26	20	0	0	0	0	0	0	0	0	0	57	0	72	0	0	0	0	10	Carver                                       	11
23-24	113	31	Walker-Hackensack-Akeley School District	100	Immanuel Lutheran School	12	5	5	8	3	3	0	4	3	0	0	0	0	24	7	43	0	17	17	0	11	Cass                                         	05
23-24	118	31	Northland Community Schools	200	Eagle Country Christian Academy	1	3	0	0	0	0	0	1	2	0	4	0	1	3	8	12	0	0	0	0	11	Cass                                         	05
23-24	152	31	Moorhead Area Public School District	1	Park Christian	44	50	54	55	56	48	48	51	42	47	47	31	32	311	250	605	0	0	0	0	14	Clay                                         	04
23-24	152	31	Moorhead Area Public School District	3	St. Joseph	28	22	24	19	28	13	24	12	8	0	0	0	0	130	20	178	0	20	20	0	14	Clay                                         	04
23-24	162	31	Bagley Public School District	2	FHL Academy	3	4	3	3	8	5	3	6	3	4	6	4	3	26	26	55	0	0	0	0	15	Clearwater                                   	02
23-24	173	31	Mountain Lake Public Schools	1	Mountain Lake Christian	7	5	9	6	2	6	5	10	2	8	6	6	6	33	38	78	0	18	18	0	17	Cottonwood                                   	08
23-24	173	31	Mountain Lake Public Schools	2	Neuhof Colony School	0	2	2	0	3	2	0	2	1	2	0	0	0	9	5	14	0	0	0	9	17	Cottonwood                                   	08
