DISTRICTNAME,schoolname,gr_kg,gr_01,gr_02,gr_03,gr_04,gr_05,gr_06,tot_01_06,tot_07_12,tot_kg_12,free_meal_elg,red_meal_elg,free_red_meals,lep_srv
Minneota Public School District,St. Edward,9.0,4.0,6.0,3.0,5.0,9.0,4.0,31.0,10.0,50.0,0.0,16.0,16.0,0.0
Hutchinson Public School District,Northwoods Elementary,6.0,4.0,7.0,6.0,6.0,6.0,8.0,37.0,9.0,52.0,0.0,0.0,0.0,0.0
Hutchinson Public School District,Immanuel Lutheran,9.0,7.0,8.0,5.0,6.0,6.0,5.0,37.0,12.0,58.0,0.0,15.0,15.0,0.0
Hutchinson Public School District,Maplewood Academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,0.0,0.0,5.0
Hutchinson Public School District,St. Anastasia,12.0,13.0,15.0,12.0,13.0,7.0,4.0,64.0,2.0,78.0,0.0,13.0,13.0,0.0
Mahnomen Public School District,St. Michael,3.0,1.0,8.0,5.0,6.0,4.0,6.0,30.0,0.0,33.0,0.0,15.0,15.0,1.0
Truman Public School District,St. Paul's Lutheran,6.0,5.0,4.0,5.0,8.0,5.0,7.0,34.0,9.0,49.0,0.0,24.0,24.0,0.0
Litchfield Public School District,St. Philip,10.0,10.0,10.0,6.0,9.0,7.0,0.0,42.0,0.0,52.0,0.0,10.0,10.0,0.0
Princeton Public School District,Discovery Montessori Academy,11.0,12.0,11.0,9.0,6.0,4.0,5.0,47.0,5.0,63.0,0.0,0.0,0.0,0.0
Little Falls Community Schools,Mary of Lourdes Elementary/Middle School,28.0,29.0,36.0,36.0,18.0,28.0,25.0,172.0,43.0,243.0,0.0,24.0,24.0,0.0
Pierz Public School District,Holy Trinity Catholic School,30.0,16.0,17.0,13.0,19.0,14.0,14.0,93.0,0.0,123.0,0.0,25.0,25.0,0.0
Austin Public School District,Pacelli Catholic Schools,20.0,19.0,25.0,24.0,17.0,18.0,21.0,124.0,106.0,250.0,0.0,63.0,63.0,1.0
Southland Public School District,Sacred Heart,11.0,6.0,10.0,15.0,12.0,11.0,15.0,69.0,19.0,99.0,0.0,18.0,18.0,0.0
